"url","title","description","father_url","deep"
"http://www.venusgo.com/blog/escuelitadesexo-clasex-n%C2%B08-juguetes-hot-para-ellos","ENTRETENIMIENTO :: #EscuelitaDeSexo #ClaSEX NÂ°8 Juguetes HOT para ellos | venusgo -- Consolador","Cuando tienes pareja piensas: ""Â¡Por fin tendrÃ© sexo cuando yo quiera!"". Â¡Mentira! Eso de las relaciones sexuales estables es una leyenda. Es difÃ­cil lograr que ella tenga ganas y que tÃº tambiÃ©n las tengas. Pero ademÃ¡s es dificil que tÃº sepas cuando ella las tiene...","http://venusgo.com",1
"http://www.hotgo.tv/es/playboy/reality/badass-1","Badass | hotgo : PLAYBOY:","Si buscas chicas dulces y hogareÃ±as, llegaste al lugar equivocado. En este programa las mujeres mÃ¡s calientes de Playboy TV llevan su cuerpo al lÃ­mite. Experiencias salvajes, deportes extremos, emociones fuertes Â¡y mucho mÃ¡s! Â ","http://www.hotgo.tv/es",2
"http://www.hotgo.tv/es/operadores","Operadores | hotgo","","http://www.hotgo.tv/es",2
"http://www.hotgo.tv/es/sextreme/movie/atrapada-cogiendo","Atrapada Cogiendo | hotgo : Sextreme:","Esta sexy niÃ±era fue descubierta tocÃ¡ndose, por eso deberÃ¡ demostrarle sus habilidades sexuales.","http://www.hotgo.tv/es",2
"http://www.hotgo.tv/es/penthouse/fetiche-jovencitas-mamadas/doctor-examine-mi-concha","Doctor, examine mi concha | hotgo : Penthouse:","Chloe debe encontrar una manera de pedirle a su doctor que la penetre bien profundo","http://www.hotgo.tv/es",2
"http://www.hotgo.tv/es/venus/movie/%C2%A1m%C3%A9tela-todita","Â¡MÃ©tela Todita! | hotgo : Venus:","Los pechos de Esperanza Gomez te pueden dejar inconsciente, por eso mÃ¡s vale que la hagas gozar.","http://www.hotgo.tv/es",2
"http://www.asacp.org/index.php?/","\n\tASACP | Association of Sites Advocating Child Protection ","ASACP, the Association of Sites Advocating Child Protection work with U.S. Customs Service and the FBI to enforce anti-child exploitation laws.","http://www.rtalabel.org",2
"http://www.rtalabel.org/index.php?content=howto","\n\tRTA | Parental Control Software | Website Label ","RTA offers a website label, parental control sofware and work to enforce the prevention of children from viewing age inappropriate content.","http://www.rtalabel.org",2
"http://www.asacp.org/index.php?content=parental_guidelines","\nASACP | Association of Sites Advocating Child Protection - parental guidelines\n","ASACP | Association of Sites Advocating Child Protection: parental guidelines; .","http://www.rtalabel.org",2
"http://www.asacp.org/index.php?content=donation","\n\tASACP | Donate to protect a child online | Porn Protection","Donate to protect a child online. ASACP provides exploitation protection and work with U.S. Customs Service & the FBI to enforce anti-child exploitation laws.","http://www.rtalabel.org",2
"http://www.hotgo.tv/es/bonus-track","| hotgo","","http://www.hotgo.tv/es",2
"https://twitter.com/VenusOficialOK","Venus (@VenusOficialOK) | Twitter","Los Tweets mÃ¡s recientes de Venus (@VenusOficialOK). Cuenta Oficial. SÃ³lo 18+ - NSFW - Encuentra contenido de las mejores marcas de entretenimiento adulto en https://t.co/Kt8C0gfmqV. LatinoamÃ©rica & Iberia","http://venusgo.com",1
"http://www.asacp.org/index.php?","\n\tASACP | Association of Sites Advocating Child Protection ","ASACP, the Association of Sites Advocating Child Protection work with U.S. Customs Service and the FBI to enforce anti-child exploitation laws.","http://www.rtalabel.org",2
"https://www.google.com.ar/webhp?tab=ww","Google","","http://www.google.com",2
"https://accounts.google.com/ServiceLogin?hl=es-419&passive=true&continue=http://www.google.com.ar/%3Fgfe_rd%3Dcr%26ei%3DQgH4WKLlEKP28AfKvYqADg","Acceso: cuentas de Google","","http://www.google.com",2
"http://www.google.com.ar/history/optout?hl=es-419","Google: personalización de la búsqueda","","http://www.google.com",2
"http://rtalabel.org/index.php?t=","\n\tParental Filtering | RTA | Restricted to Adults ","RTA, Restricted to Adults enables parental filtering and work to enforce the prevention of children from viewing age inappropriate content.","http://www.rtalabel.org",2
"http://rtalabel.org/index.php?t=.de","\n\tParental Filter | RTA | Nur fÃ¼r Erwachsene\n ","RTA, nur fÃ¼r Erwachsene erlaubt elterlichen Filterung und Arbeit zur PrÃ¤vention von Kinder vor Alter unangemessene Inhalte durchzusetzen.","http://www.rtalabel.org",2
"http://rtalabel.org/index.php?t=.fr","\n\tFiltrage parental | RTA | RÃ©servÃ© aux adultes\n ","RTA, rÃ©servÃ© aux adultes permet le filtrage parental et le travail pour faire appliquer la prÃ©vention des enfants de regarder du contenu Ã¢ge inappropriÃ©.","http://www.rtalabel.org",2
"http://rtalabel.org/index.php?t=.es","\n\tFiltrado de los padres | RTA | Limitado a los adultos\n ","RTA, reservado para adultos permite el filtrado de los padres y el trabajo para hacer cumplir la prevenciÃ³n de que los niÃ±os vean el contenido inapropiado a la edad.","http://www.rtalabel.org",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-3.jpg?itok=-4lXRRkP&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.xbiz.com/news/218574","\n\tFundraiser Raises Over $30K For ASACP and FSC - XBIZ.com\t","The results are in and they reveal an unprecedented outpouring of support for the two major organizations serving the adult industry â the Association of Sites Advocating Child Protection (ASACP) and the industryâs national trade association, the Free Speech Coalition (FSC).","http://www.rtalabel.org",2
"http://video.google.com.ar/?hl=es-419&tab=wv","Google Videos","Busca millones de videos de toda la Web.","http://www.google.com",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-4.jpg?itok=E87_qIdG&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-5.jpg?itok=kOGIMxr-&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-1.jpg?itok=FnM5tWSh&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-6.jpg?itok=My-FNdAU&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-8.jpg?itok=wrtGUyiq&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"https://www.asacp.org/index.php?content=report","\nASACP | Association of Sites Advocating Child Protection - report child exploitation\n","ASACP | Association of Sites Advocating Child Protection: report child exploitation; .","http://www.asacp.org/ASACP.php",2
"http://www.google.com.ar/setprefdomain?prefdom=US&sig=__oUBghEV90TTzpWOdsxPEW8sFMBs%3D","Google","","http://www.google.com",2
"https://pbs.twimg.com/profile_images/552200071924563968/ArDFcxSp.jpeg","","","https://twitter.com/VenusOficialOK",2
"http://www.google.com.ar/preferences?hl=es-419","Preferencias","","http://www.google.com",2
"http://translate.google.com.ar/?hl=es-419&tab=wT","Google Traductor","El servicio gratuito de Google traduce al instante palabras, frases y páginas web del español a más de cien idiomas.","http://www.google.com",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-2.jpg?itok=Oc7c-ol9&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"http://www.venusgo.com/sites/default/files/styles/full_gallery/public/esperanza-gomez-latinas-tetonas-7.jpg?itok=Kq5eVG7D&slideshow=true&slideshowAuto=true&slideshowSpeed=4000&speed=350&transition=elastic","","","http://www.venusgo.com/sexstar/esperanza-gomez",2
"https://books.google.com.ar/bkshp?hl=es-419&tab=wp","Google Books","","http://www.google.com",2
"https://drive.google.com/?tab=wo","Meet Google Drive â One place for all your files","Google Drive is a free way to keep your files backed up and easy to reach from any phone, tablet, or computer. Start with 15GB of Google storage â free.","http://www.google.com",2
"http://rtalabel.org/index.php?content=howto","\n\tRTA | Parental Control Software | Website Label ","RTA offers a website label, parental control sofware and work to enforce the prevention of children from viewing age inappropriate content.","http://www.rtalabel.org",2
"https://vivicastrillon.wordpress.com/","vivi castrillon | Un Lugar sensual con todo lo que debes saber","Un Lugar sensual con todo lo que debes saber","http://www.venusgo.com/blog/estimula-el-punto-g-y-consigue-mejores-orgasmos-por-vivi-castrill%C3%B3n",2
"https://mail.google.com/mail/?tab=wm","Gmail","Gmail is email that's intuitive, efficient, and useful. 15 GB of storage, less spam, and mobile access.","http://www.google.com",2
"https://docs.google.com/document/?usp=docs_alc","\n      Google Docs - create and edit documents online, for free.\n    ","Create a new document and edit with others at the same time -- from your computer, phone or tablet. Get stuff done with or without an internet connection. Use Docs to edit Word files. Free from Google.","http://www.google.com",2
"http://www.youtube.com/watch?v=rneBY68sDp0","Sunny Leone RTA ""Restricted To Adults"" PSA - YouTube","Association of Sites Advocating Child Protection's public service announcement for the RTA ""Restricted to Adults"" Website Label featuring Sunny Leone. The RT...","http://www.rtalabel.org",2
"http://www.statcounter.com/","StatCounter - Free Invisible Web Tracker, Hit Counter and Web Stats","","http://www.rtalabel.org",2
"https://photos.google.com/?tab=wq&pageId=none","Google Photos - All your photos organized and easy to find","All your photos are backed up safely, organized and labeled automatically, so you can find them fast, and share them how you like.","http://www.google.com",2
"https://plus.google.com/112209395112018703654","Google Argentina - Google+","Google Argentina - Google+","http://www.google.com",2
"http://www.pff.org/parentalcontrols/Parental%20Controls%20&%20Online%20Child%20Protection%20%5BVersion%202.2%5D.pdf","The Progress & Freedom Foundation","","http://www.rtalabel.org",2
"http://www.youtube.com/watch?v=yEgd_9GzmVM","Stormy Daniels RTA ""Restricted To Adults"" PSA - YouTube","Association of Sites Advocating Child Protection's PSA for the RTA ""Restricted to Adults"" Website Label featuring Stormy Daniels. The RTA Website Label is fr...","http://www.asacp.org/ASACP.php",2
"http://rtalabel.org/?content=rtaplus","\n\t ","","http://www.rtalabel.org",2
"https://www.google.com/calendar?tab=wc","Google Calendar","With Google's free online calendar, itâs easy to keep track of lifeâs important events all in one place.","http://www.google.com",2
"http://rtalabel.org/rtapaper/rta-label-paper-final.pdf","","","http://www.rtalabel.org",2
